Price,Close,High,Low,Open,Volume
Ticker,CBRL,CBRL,CBRL,CBRL,CBRL
Date,,,,,
2020-06-05,106.93720245361328,112.82774086598718,105.17994311018815,108.91722308774436,1315800
2020-06-08,109.59373474121094,111.33449696320373,106.26896336661487,110.36924197592607,568800
2020-06-09,107.45696258544922,110.05572478336795,103.35668438796182,105.3696997511449,844500
2020-06-10,98.57990264892578,106.82996371025526,98.5139069944516,106.42570649478,941300
2020-06-11,91.61686706542969,95.07363597265793,89.34810184700366,91.46836581754282,875200
2020-06-12,94.38062286376953,96.81438637520039,90.20609108958763,96.39363184165786,444600
2020-06-15,95.79963684082031,96.96289127318428,88.63858915441276,88.78709038985201,462500
2020-06-16,96.80614471435547,101.27767941728696,94.42187926463545,101.0796735605578,512500
2020-06-17,93.48963165283203,96.90515423510803,93.2751284405959,96.89690241694313,388900
2020-06-18,93.72061157226562,95.1231245197289,91.5755988050595,93.22560959433984,391700
2020-06-19,92.40061950683594,95.84914287948777,91.6003631343774,95.17263859558443,754300
2020-06-22,91.0641098022461,92.87087396018985,89.94210175736602,91.99637009655703,352900
2020-06-23,94.1248779296875,95.06539002496899,92.04586676284191,92.90387326966011,398400
2020-06-24,90.15660858154297,93.32463327496644,88.45709910456944,92.30162182607417,603300
2020-06-25,89.83484649658203,92.01286046709806,87.79708194747754,88.03633429274612,370400
2020-06-26,84.46405029296875,89.35633254976443,83.59779840254961,88.67982837588355,812900
2020-06-29,90.18133544921875,90.32983666836219,83.64729439548987,85.10755743278239,490200
2020-06-30,91.5013656616211,91.81486549470503,88.28384286009369,89.38109542303376,430300
2020-07-01,90.173095703125,93.2256132657926,88.86133380095507,91.16309969796534,439100
2020-07-02,87.39282989501953,92.70586714852577,87.0133281332394,92.60686422594704,368200
2020-07-06,88.57258605957031,88.9768369696951,85.32206255610151,88.53133326914669,517100
2020-07-07,85.01680755615234,87.86307362050853,84.571303892339,86.76581494635482,390800
2020-07-08,85.16532135009766,85.31382259329152,81.88179665916341,84.77756775429744,494800
2020-07-09,80.9825439453125,85.14881799744992,80.52878839674555,84.97556759553142,592200
2020-07-10,82.0550537109375,83.01206319892702,79.33253909078464,80.65254675155207,675900
2020-07-13,82.8883056640625,85.18182000430714,81.51054795525259,83.04505872715447,548600
2020-07-14,83.47406005859375,83.99381127830065,81.08979457239892,82.28605007721487,278200
2020-07-15,91.60861206054688,91.9798620202016,85.7098214390046,86.10582685102311,506000
2020-07-16,88.93560028076172,91.13836357557976,88.1435894184768,89.61210457598162,334800
2020-07-17,87.60733032226562,89.43059160255548,87.33507701446376,89.29858770993928,238900
2020-07-20,85.15706634521484,87.67332927355413,84.16705599621405,87.450580564247,230600
2020-07-21,86.66682434082031,87.76407679680356,85.75931331771022,86.08931675390552,197900
2020-07-22,87.53306579589844,88.93557865817618,85.48705606626426,85.67680377070332,310700
2020-07-23,88.14358520507812,89.14184740592252,85.85007090638787,86.84008128977361,325700
2020-07-24,90.19783782958984,90.75058991206065,87.80532101850451,87.80532101850451,406200
2020-07-27,88.19308471679688,90.26385017872558,86.7493251653339,90.20609375414661,344000
2020-07-28,89.27384185791016,90.25560038913144,87.31033108975986,87.73107935088989,213200
2020-07-29,92.95338439941406,94.82615073610982,89.62861266116083,90.05761912084783,567500
2020-07-30,92.82962036132812,93.46487815035823,90.84961210566776,91.36936332863469,305100
2020-07-31,91.13837432861328,93.13488647271346,89.84311572173745,93.13488647271346,306200
2020-08-03,89.91734313964844,91.15485132712504,89.00158657737238,90.9321026228678,236200
2020-08-04,91.78186798095703,93.01937631328454,89.91735366451492,89.91735366451492,306700
2020-08-05,92.51611328125,93.40712070313016,91.80660807060012,93.2338703090355,239100
2020-08-06,94.95813751220703,96.09664919914758,92.07061808823892,92.07061808823892,302800
2020-08-07,96.047119140625,96.06362277205083,93.97636029135461,94.13310702415312,244600
2020-08-10,97.40015411376953,98.58816413085904,95.8573977494416,96.45964828167129,254100
2020-08-11,99.54517364501953,102.42444127990676,98.82741654364669,99.0089187734853,518400
2020-08-12,98.7696533203125,101.86342375277655,97.13613976248297,101.17041590287273,350700
2020-08-13,99.62875366210938,101.08836289913798,98.22752854002628,99.12831748209211,185700
2020-08-14,99.84559631347656,100.60459605439749,98.24419823841808,98.24419823841808,150900
2020-08-17,98.41099548339844,100.7547145517107,97.34339690412243,100.24593610949488,189900
2020-08-18,98.05235290527344,98.39432147115033,95.21654643762103,97.38510694486865,264200
2020-08-19,96.97643280029297,98.41102115164549,96.67617618952237,97.72709023569733,218300
2020-08-20,97.3934555053711,98.2608810924555,95.50013681555714,95.91716798069058,353400
2020-08-21,98.36930084228516,99.31178886561423,95.94217671336712,95.94217671336712,174500
2020-08-24,100.62962341308594,101.14673799552668,96.99311107200326,99.47861330194345,254900
2020-08-25,101.88069915771484,103.26523910285918,100.86314225402404,101.28851575842043,343100
2020-08-26,101.6304931640625,102.75647603163551,100.9549047161968,101.74726138064692,251900
2020-08-27,108.31964874267578,108.54484908957346,102.55628252092794,102.55628252092794,556700
2020-08-28,115.6677474975586,116.43509597227572,108.62827275080168,108.83678831470132,869200
2020-08-31,111.52247619628906,115.62606120213056,111.39735921470064,115.62606120213056,516200
2020-09-01,113.34906768798828,114.08304662476185,109.05365169841896,111.1888492670896,382700
2020-09-02,113.87450408935547,115.58433403872763,113.1655461725885,113.71603024489379,248900
2020-09-03,112.77356719970703,116.40173050483887,110.19630506567378,114.26653309067034,288800
2020-09-04,113.6743392944336,115.25071644953489,111.24722780131447,114.35827645335226,268500
2020-09-08,111.18050384521484,113.74106841251464,111.18050384521484,111.34731375492234,301800
2020-09-09,113.54924774169922,113.80780503373606,110.28806090101847,111.4807766786231,378100
2020-09-10,114.34993743896484,116.47678595548453,113.5825889836701,114.14142188034295,498400
2020-09-11,114.09137725830078,115.1756608016503,111.52247655492981,115.1756608016503,417700
2020-09-14,115.18400573730469,116.59356029729969,112.2147333357167,115.15898488709522,475500
2020-09-15,109.43731689453125,114.5918156542198,107.09359120717393,113.25731092116641,806800
2020-09-16,104.23277282714844,111.18051372516335,102.14761695355865,111.18051372516335,1073200
2020-09-17,102.97332763671875,105.03346247268723,101.56376035665818,101.58878757013862,457500
2020-09-18,98.65287017822266,104.14100065768565,98.46937548690487,103.69894873590509,726800
2020-09-21,96.5009994506836,97.18493023881656,94.12392331896476,96.71785741669355,406200
2020-09-22,98.87809753417969,99.09494917098691,95.90049509693887,96.8596617416723,331100
2020-09-23,96.09231567382812,99.90398008485174,96.03393156805977,99.08660260409471,473400
2020-09-24,95.62523651123047,97.55191823771115,93.99047529430902,96.56772454591875,394200
2020-09-25,97.03480529785156,97.30171134372479,93.2481680411855,95.69197084404651,471500
2020-09-28,99.75384521484375,100.31266540290305,97.53524290794698,98.7362882375477,354300
2020-09-29,94.99969482421875,99.34515853298706,94.69108949025456,99.34515853298706,372000
2020-09-30,95.6335678100586,97.86884823133843,95.09142614760962,95.6752670989306,436400
2020-10-01,95.3499984741211,96.55938622054734,93.50672162059765,96.00056602673052,450800
2020-10-02,98.66957092285156,99.21170631773,92.7977716691554,93.42331838329844,424600
2020-10-05,97.60195922851562,100.01240492441771,96.30916659172101,99.37851584868814,381900
2020-10-06,97.11820983886719,101.73891543952574,96.58441051116706,98.60283961674504,392300
2020-10-07,97.32673645019531,99.27843927055184,96.78459465674383,98.57782995967227,225100
2020-10-08,98.10240173339844,98.5110904441409,96.60108717480803,97.91056462070473,252400
2020-10-09,98.63621520996094,99.5703609686068,96.00891753698795,99.10328808928386,324800
2020-10-12,98.22752380371094,100.87150638747593,98.01067216630737,100.17089067852089,341500
2020-10-13,97.7771224975586,98.41934764415849,95.30829258398963,98.22751052258755,249300
2020-10-14,98.37763977050781,98.81969810793349,97.38511002083573,97.96060864581148,206300
2020-10-15,100.1208267211914,100.20423166807163,96.6761521442607,96.6761521442607,233100
2020-10-16,97.56025695800781,100.31265841142447,97.5102152620843,100.12082766812459,219600
2020-10-19,97.37677001953125,99.11995710935085,97.10152794322602,98.56113691568152,262300
2020-10-20,100.13751220703125,101.28017978615202,97.56026289587585,97.98563642728432,383100
2020-10-21,100.15418243408203,100.59623434632486,98.78632104535782,99.65374642707863,240600
2020-10-22,105.39210510253906,105.57559981338929,100.01240620259692,100.6629737313278,595600
2020-10-23,104.24944305419922,106.16778885199696,101.75559860777433,105.77577856052949,889900
2020-10-26,100.21257019042969,102.99833476134856,99.0031762356442,102.33108884876042,626100
2020-10-27,101.1717529296875,102.04751446947338,99.34515457566417,99.34515457566417,380500
2020-10-28,91.3047866821289,99.41187198504284,91.22971777793708,98.87807270581627,559700
2020-10-29,94.35747528076172,94.74948561967369,89.17794863590468,91.39655763341031,362000
2020-10-30,94.93297576904297,95.78371656029542,92.2639788127699,94.39083397259637,351400
2020-11-02,95.59188079833984,96.80961099383197,92.22226833969204,96.15904341738731,302900
2020-11-03,95.95053100585938,97.71874543257685,95.24157929952224,97.05983542964992,332500
2020-11-04,95.49178314208984,97.25999736441982,93.64016396925341,95.50012554615743,350800
2020-11-05,98.94480895996094,99.67878786099482,97.66035224654205,98.13577386928829,409000
2020-11-06,100.03743743896484,101.75560379462185,96.98476627069873,98.26088061161994,360800
2020-11-09,114.50840759277344,124.43375660105708,110.0962236245722,112.1229889051698,1290700
2020-11-10,112.43160247802734,116.76872396568221,110.52159265187709,113.97461012293388,642200
2020-11-11,108.31964874267578,113.42411782061123,106.90174561477427,112.66511819991139,469900
2020-11-12,105.98429870605469,108.34469023454676,104.98342646780573,106.40132986589018,311800
2020-11-13,108.20288848876953,108.78672949877158,106.03432798440365,106.29289160031006,171000
2020-11-16,113.3824234008789,114.62516799837071,110.41316385074353,111.75600457165079,367300
2020-11-17,114.39164733886719,116.368383782055,111.8644394116096,112.59841835941141,324600
2020-11-18,114.19146728515625,116.34334944720501,113.87451955319229,114.52508709906981,228900
2020-11-19,115.90129852294922,116.19321268108882,113.34905728880898,113.85783578207084,206200
2020-11-20,116.05142211914062,116.43509635776945,113.1739098731546,114.51675061818543,267100
2020-11-23,118.17828369140625,118.4368409557996,115.51762304491722,117.55273699621718,242900
2020-11-24,121.27264404296875,121.56457091632704,118.11988980852988,119.10408986509181,287600
2020-11-25,120.92233276367188,121.23094442823513,118.5953048529511,120.10495538082826,206900
2020-11-27,119.3209457397461,121.83148130558898,119.00399800609092,121.20593460607812,106400
2020-11-30,116.41840362548828,119.20416832438008,115.5593205759904,119.20416832438008,330800
2020-12-01,118.52024841308594,119.00399330871319,116.41840802219578,118.27836323849264,510100
2020-12-02,118.15326690673828,118.69540230384197,115.68443693167008,117.37758236009117,443600
2020-12-03,120.58872985839844,122.87406516093762,115.93466065869885,116.09313453329423,680100
2020-12-04,117.71955108642578,122.99916690866209,116.35168944007249,122.99916690866209,732200
2020-12-07,109.58743286132812,119.26255955259263,109.16206571742713,117.4776669388032,659200
2020-12-08,110.89691925048828,112.59840059299948,109.45398243516337,109.54572978916218,395100
2020-12-09,112.68180847167969,112.84026959941154,110.2630204521569,111.71429326387056,240000
2020-12-10,113.78276062011719,114.00796097132805,110.85520696149125,111.17214193443299,208900
2020-12-11,112.6401138305664,114.26653273657026,112.35653570885916,113.14054356414735,431700
2020-12-14,112.58173370361328,114.2999001276205,111.6475879336944,113.7160590214212,345800
2020-12-15,114.23316955566406,114.93377878017195,112.2564334001729,112.59840197169927,266700
2020-12-16,113.8411636352539,115.45923374601875,112.28980730641773,113.64098410912722,204600
2020-12-17,113.31570434570312,114.24151400580233,111.70595749220601,113.20727217436426,356600
2020-12-18,112.40657043457031,114.97548363324563,111.47241208164678,113.34905210138345,440800
2020-12-21,111.67259979248047,112.26478961972006,107.18534058791914,109.31220197836419,250700
2020-12-22,113.0571517944336,113.6076359886943,110.58832168873124,112.25644635489247,231300
2020-12-23,113.18226623535156,114.26654991125277,111.68930012461651,113.93293003872117,269400
2020-12-24,112.6401138305664,114.24151188623023,110.78015850353535,113.96626980570952,225000
2020-12-28,114.65853118896484,115.91796052423672,112.30646968561229,114.03298454149181,300800
2020-12-29,112.79024505615234,114.43334886051618,111.5141307124072,114.36662234705996,170700
2020-12-30,110.79682159423828,113.84949235578755,110.20464454854164,112.2480944300845,202700
2020-12-31,110.02948760986328,111.44739085235629,108.7533734189416,110.72176078643837,247400
2021-01-04,105.53390502929688,110.49657332075616,103.20687037750258,110.02950045475261,453700
2021-01-05,108.24459838867188,108.66996555689603,105.75909643335144,105.75909643335144,289400
2021-01-06,111.73931884765625,112.98207616174433,108.43642679116738,108.43642679116738,322000
2021-01-07,111.98955535888672,112.89034422459025,110.62169361321428,112.03126102176569,262600
2021-01-08,113.88286590576172,114.03300374436321,112.03125922607244,112.41492077413389,399900
2021-01-11,115.150634765625,116.03473873404845,111.37233370704243,111.68093267385207,263900
2021-01-12,117.5777587890625,118.92059954791155,115.15063453783185,115.63439217987226,290100
2021-01-13,116.86046600341797,117.86133818929605,115.93465636795517,116.81876034426048,186600
2021-01-14,119.34599304199219,120.92237056508407,117.99481594413713,118.25337326762465,235600
2021-01-15,117.6528091430664,119.04569145726451,115.6927706549917,118.9539441083399,250200
