Price,Close,High,Low,Open,Volume
Ticker,CSX,CSX,CSX,CSX,CSX
Date,,,,,
2020-06-05,23.432628631591797,24.003776118882854,23.385814024968465,23.70415835042288,17776200
2020-06-08,23.19855499267578,23.71664456334106,23.03938280959847,23.35148558457788,13896000
2020-06-09,22.98944664001465,23.16422369496154,22.802184616782906,22.961356800770986,10312500
2020-06-10,22.87396812438965,23.13613280193768,22.58371360887736,22.989445592915608,12241500
2020-06-11,21.31344985961914,22.596190177422535,21.291603404838327,22.402686628426746,14913000
2020-06-12,21.71294593811035,22.056258404183474,21.241671049575935,22.006320324559656,12513600
2020-06-15,21.893964767456055,22.021927191150148,21.048167667565075,21.19485664806567,11766900
2020-06-16,21.959503173828125,22.649249714093767,21.71606332349099,22.646128026396966,11663700
2020-06-17,21.815937042236328,22.18109772980174,21.79409058480191,22.18109772980174,9175800
2020-06-18,21.68173599243164,21.884601067720588,21.560015161395555,21.609951454676327,8368500
2020-06-19,21.219823837280273,21.993836363093397,21.144917613435688,21.971989905047174,21278100
2020-06-22,21.410207748413086,21.432054208521656,20.93269124150147,21.14491960955363,9680100
2020-06-23,21.66925048828125,21.803454496374805,21.45702214003749,21.634919064270093,9317100
2020-06-24,21.066892623901367,21.491351092713334,21.04816606851754,21.357147088900252,11214600
2020-06-25,21.291603088378906,21.33217609571875,20.726699101331096,21.010711938572374,8755800
2020-06-26,20.570650100708008,21.313452884902137,20.40211645591451,21.22294536545088,28192200
2020-06-29,21.37899398803711,21.385237363869138,20.70485405305274,20.77663858821986,10683300
2020-06-30,21.766000747680664,21.943897652113023,21.219821498106604,21.272877686330958,10864200
2020-07-01,21.297847747802734,21.937656199112396,21.182368521962953,21.803452205121896,9850200
2020-07-02,21.49135398864746,21.80969832961861,21.435176100788688,21.584984992320656,7629600
2020-07-06,21.9251766204834,22.05937885064757,21.750397802144583,21.76288276882426,8323200
2020-07-07,21.385238647460938,21.856511756894907,21.332180664879935,21.669251545535225,8724000
2020-07-08,21.566253662109375,21.613068260655144,21.275999222228208,21.422686393028247,8927400
2020-07-09,21.179258346557617,21.550658980448176,21.060659164491845,21.313460616316636,12826200
2020-07-10,21.07938003540039,21.251037184442385,20.960782661173074,21.12619643325865,11002500
2020-07-13,21.422691345214844,21.837788382232414,21.091863819612282,21.288489107854897,12059400
2020-07-14,21.641164779663086,21.675496210218686,21.160528323610748,21.24167436718052,11623500
2020-07-15,22.053138732910156,22.16549451121629,21.65364834628764,22.00320243458234,13189500
2020-07-16,22.18109893798828,22.43078040453566,21.90956922695381,21.937659061638907,8338800
2020-07-17,22.521289825439453,22.61179913428221,22.159252590068423,22.362117666487457,8843400
2020-07-20,22.334028244018555,22.483837127461353,22.121799885405974,22.427659242635993,8920500
2020-07-21,22.60555648803711,22.65549277926329,22.346511754068455,22.446384336520822,7594500
2020-07-22,22.86459732055664,23.02376944491295,22.56185793695667,22.62740087063708,12627300
2020-07-23,22.324670791625977,22.767857753130922,22.137410531384667,22.49320627594741,15308400
2020-07-24,22.26536750793457,22.66173618154296,22.237277672174905,22.393329934133778,8862600
2020-07-27,22.3433895111084,22.536893081268456,22.13428107356065,22.1561293165935,10236300
2020-07-28,21.878358840942383,22.26224430760145,21.831544237052317,22.252881029650904,8943600
2020-07-29,22.446388244628906,22.511929415041717,21.965750018496692,22.062502715757045,11649000
2020-07-30,21.92205238342285,22.252879852820765,21.865872718690603,22.15300727444686,9651000
2020-07-31,22.26536750793457,22.280972376957898,21.244793358216256,21.819060753243622,16729200
2020-08-03,21.956388473510742,22.362120462949754,21.934540226182296,22.21855315454849,8228100
2020-08-04,22.08434295654297,22.09058454580916,21.784725241416346,21.900202679221927,9359700
2020-08-05,22.293455123901367,22.321544959114277,22.0999515372255,22.20918740412538,6515700
2020-08-06,22.55562400817871,22.674223166347012,22.227916371933546,22.299700918865227,7129500
2020-08-07,22.761606216430664,22.855237205921043,22.418293778874332,22.45574688901552,10284300
2020-08-10,23.12052345275879,23.229759309196833,22.761606148994527,22.892690248237727,11712000
2020-08-11,23.45135498046875,23.866450203606092,23.304665999797773,23.43887001396233,16438200
2020-08-12,23.417022705078125,23.81651304498162,23.385812968738836,23.5886780408069,9073500
2020-08-13,23.095561981201172,23.39517978139554,23.017534056838986,23.25473237492434,7675800
2020-08-14,23.173583984375,23.304666312204468,22.93638747620086,22.99256536157595,7149300
2020-08-17,23.404539108276367,23.495046627704156,23.20479215601752,23.22664039975626,8966100
2020-08-18,23.22351837158203,23.466958236026386,23.195428538270615,23.466958236026386,7244700
2020-08-19,23.111160278320312,23.360843512622626,23.0674673642403,23.320270500483996,8141700
2020-08-20,23.067472457885742,23.148618500081277,22.86148566390363,22.877088748781098,7644600
2020-08-21,23.136131286621094,23.176704303781268,22.914539643403888,23.064348531008907,9075000
2020-08-24,23.441987991333008,23.463834446932644,23.214153014954807,23.27345257828235,7807800
2020-08-25,23.666706085205078,23.69791582407326,23.35148343656567,23.591801640403748,7600500
2020-08-26,23.53562355041504,23.654220914264496,23.39829784319813,23.557470010261902,8460300
2020-08-27,23.77906608581543,23.947601550381147,23.495051361032562,23.71664481580986,7626000
2020-08-28,24.136075973510742,24.170524955389354,23.72895294547466,23.791587946702453,7963500
2020-08-31,23.94504165649414,24.28952788384309,23.84795767549619,24.170524430457096,9645900
2020-09-01,24.439851760864258,24.446116515755236,23.72269143595055,23.86675033481798,9957000
2020-09-02,24.327112197875977,24.63088831058731,24.167394989582863,24.4116684723828,24348300
2020-09-03,23.691375732421875,24.555727366593906,23.51286784276189,24.52754134444401,14156100
2020-09-04,23.647533416748047,24.104763813278545,23.303045326423668,23.873016237182124,12536700
2020-09-08,23.569236755371094,23.979490386128507,23.218485751118124,23.603685738714606,12302400
2020-09-09,24.007678985595703,24.389746636847295,23.700772271900725,23.716430576561088,10989900
2020-09-10,23.744613647460938,24.114157145689347,23.575501098230685,23.91059561109901,11175000
2020-09-11,24.16739273071289,24.245686034747468,23.819772324456324,23.879276740783993,8678100
2020-09-14,24.72797203063965,24.86263560261079,24.19245012051371,24.377220984754203,10494300
2020-09-15,25.138221740722656,25.39815350232349,24.818789146928115,24.97224158528626,14988300
2020-09-16,24.85010528564453,25.492104630436103,24.78433790817827,25.42947142215293,14956500
2020-09-17,24.89708137512207,25.053667987227595,24.23315894229539,24.424194537385016,13855800
2020-09-18,25.000429153442383,25.235307287414663,24.81879068438951,24.97537371773376,20217300
2020-09-21,24.295793533325195,24.66533341584025,23.898065839056798,24.521276315595436,13075200
2020-09-22,24.405405044555664,24.515013169592994,24.157999188900085,24.317716394152225,10902900
2020-09-23,23.957565307617188,24.737360498891896,23.829164734860086,24.63714594219688,13460700
2020-09-24,23.982622146606445,24.286398234110315,23.60681750885943,23.82290495156673,12737400
2020-09-25,24.45237922668457,24.530672534213473,24.004544231425708,24.189316867268616,10377600
2020-09-28,24.843839645385742,24.965977264347405,24.583909689905433,24.790601778638887,8690700
2020-09-29,24.30205726623535,24.884555816213272,24.292661926012393,24.72796920180121,11407500
2020-09-30,24.3239803314209,24.81252730728644,24.23316109185137,24.54946313751775,14632800
2020-10-01,24.070310592651367,24.53693445667037,23.88553796464301,24.53693445667037,12747600
2020-10-02,24.161130905151367,24.386613696045956,23.898066753118716,24.045256236294293,10647600
2020-10-05,24.34589958190918,24.518142693182398,24.21123603645032,24.26760628116075,8595900
2020-10-06,24.026464462280273,24.552590911183266,23.94817116396378,24.41792736990731,9891600
2020-10-07,24.643415451049805,24.78747436256565,24.126684229807555,24.148605497916837,10489200
2020-10-08,24.33650779724121,24.80313170879304,24.176790587250647,24.71544484776612,10333800
2020-10-09,24.57765007019043,24.72170898296909,24.417932852628155,24.417932852628155,6372000
2020-10-12,24.915870666503906,25.119432175708027,24.56198730828136,24.718572119681106,14095500
2020-10-13,24.80000114440918,25.36370905026908,24.727970795383854,25.213385388992144,12970200
2020-10-14,25.200857162475586,25.44512883380828,24.88455514869172,24.88455514869172,12395400
2020-10-15,25.37623405456543,25.41381362453552,24.82505209518769,24.91587312256951,8218500
2020-10-16,25.088115692138672,25.473315683606728,25.078720351861655,25.351179843961365,15868500
2020-10-19,24.756153106689453,25.322991513199078,24.680992183307332,24.99416180141063,9325800
2020-10-20,25.094375610351562,25.435733028414624,24.790601340814614,24.834443867484136,8412900
2020-10-21,24.652807235717773,25.078719153380476,24.6246212162337,24.803129089010493,14052900
2020-10-22,25.59545135498047,26.560017448487642,25.373099166735265,25.73011490200784,21454800
2020-10-23,25.45765495300293,25.861645586503233,25.166406600098572,25.586055535241524,9535500
2020-10-26,24.699787139892578,25.17580640375426,24.527542207324753,25.15701572165994,9995400
2020-10-27,24.455509185791016,24.88768404322573,24.308317925550067,24.737362197859067,16386300
2020-10-28,23.7790584564209,24.289526600048507,23.719557628861647,23.94817097594932,18601800
2020-10-29,24.392873764038086,24.721703467059918,23.609946155697212,23.69763479329412,16518600
2020-10-30,24.72170639038086,24.7436276563834,24.270739016806658,24.317715718209143,17652300
2020-11-02,25.604841232299805,25.71445291409898,24.818784911081938,25.15700812678005,17485500
2020-11-03,26.3752498626709,26.553755960285937,25.75203933386609,25.87730755674419,16795200
2020-11-04,26.56627655029297,27.418100237302518,26.481720298541152,26.76983802984197,19347000
2020-11-05,27.255258560180664,27.524585675107847,26.619520342027144,26.779237542926335,18312000
2020-11-06,26.98906135559082,27.461948160219222,26.81368586757278,27.302230973919862,8671800
2020-11-09,27.62166976928711,29.34724249144062,27.565299515678348,28.29498760286808,17890500
2020-11-10,28.62381935119629,28.77414123255577,27.302237237604796,27.480745143710994,21492000
2020-11-11,28.197900772094727,28.774136344733247,27.966155025693066,28.686447699513344,13177800
2020-11-12,28.100820541381836,28.35761994835537,27.847151719970448,28.02565960822046,12211800
2020-11-13,28.373279571533203,28.70210752865148,28.100820073374667,28.219825330226026,10227300
2020-11-16,29.124887466430664,29.149941109175415,28.58623325142957,28.883746379009665,10768500
2020-11-17,28.96830177307129,29.099834745631895,28.63634144418058,28.75534669898296,7367700
2020-11-18,28.601890563964844,29.325315593161108,28.58936463901505,29.074779174387036,7898700
2020-11-19,28.71776580810547,28.764740715586708,28.244877188091763,28.451569289778213,8326800
2020-11-20,28.66765785217285,28.89940539728333,28.479756422923675,28.664527266738418,6396300
2020-11-23,28.830503463745117,29.021537244125618,28.576836479557482,28.79918686184155,9232800
2020-11-24,29.099834442138672,29.268946982254327,28.880614615468595,29.268946982254327,23313900
