Price,Close,High,Low,Open,Volume
Ticker,FCNCA,FCNCA,FCNCA,FCNCA,FCNCA
Date,,,,,
2020-06-05,426.38812255859375,431.0285477426474,408.1508450436327,413.7842519099767,38400
2020-06-08,438.86419677734375,438.86419677734375,423.87130092118207,429.61283907818927,48300
2020-06-09,429.38671875,435.02993700391033,422.53422658321995,429.83895509012376,38400
2020-06-10,413.78424072265625,432.581885111558,413.78424072265625,432.581885111558,79700
2020-06-11,378.4599609375,397.51319930261985,377.46697939619963,395.24214706708716,72700
2020-06-12,390.3192443847656,401.80441544219224,380.68427545141435,391.9529593749297,54200
2020-06-15,393.8622131347656,403.3889078427088,365.00653442011753,378.17464579981504,51800
2020-06-16,405.6524658203125,412.7679780640592,400.03290117689386,403.6250916049786,46000
2020-06-17,396.6080017089844,413.0435426168224,394.4723839353539,409.21513254778273,44200
2020-06-18,403.644775390625,403.65459660092534,390.3880937135087,390.7227056522124,54100
2020-06-19,395.44671630859375,409.4119981680795,389.738580270926,409.4119981680795,100200
2020-06-22,397.5232849121094,401.71580047965995,395.2400186666041,395.44668456641364,47800
2020-06-23,399.54083251953125,404.38292985434293,398.31062822082026,399.11764944900295,46900
2020-06-24,382.45574951171875,397.2674276725824,382.45574951171875,395.42704679950685,45700
2020-06-25,397.3559875488281,398.2220561785687,382.83957685818984,383.8237402948433,26000
2020-06-26,375.35992431640625,393.57679892549885,373.67701326912913,393.57679892549885,99400
2020-06-29,389.1479797363281,392.1595167659841,380.67431885283423,380.67431885283423,39400
2020-06-30,398.60577392578125,403.2412042861201,386.0970678915947,386.0970678915947,26000
2020-07-01,387.022216796875,398.78298021738345,385.77234022121326,398.78298021738345,29400
2020-07-02,385.0539245605469,403.25109594669965,383.76467292833917,394.84636225956984,26100
2020-07-06,387.9473876953125,395.633701736759,383.8434129472863,392.4843667241456,34700
2020-07-07,377.8203430175781,385.73302557710355,377.8203430175781,383.479282863607,27200
2020-07-08,379.050537109375,382.0522535760172,368.53967893922766,378.31241454066884,42200
2020-07-09,366.94537353515625,385.93971741066275,365.33133094987346,378.11563546650393,46400
2020-07-10,382.652587890625,383.49898407390236,369.2286140750499,371.472505535567,37400
2020-07-13,385.63458251953125,392.15959065800905,372.3582278828295,386.7663644211122,50900
2020-07-14,378.7060241699219,391.7166641403878,372.0333982264775,384.9062709533718,50000
2020-07-15,400.7513732910156,400.9383667513289,385.3098461867972,385.3098461867972,29600
2020-07-16,399.5604553222656,417.85604777497315,393.409434593103,399.57030656640217,69900
2020-07-17,386.4120788574219,401.05643499085676,385.2802969592287,401.05643499085676,57000
2020-07-20,384.5520324707031,386.22512241741356,377.2889011090348,386.22512241741356,38700
2020-07-21,395.8501281738281,414.4114319282777,386.97298681747543,386.97298681747543,95400
2020-07-22,396.6473693847656,399.2652476030749,383.89262027557885,395.6336822956779,42100
2020-07-23,408.5458679199219,408.89033108483807,397.2673648113253,397.28703726515914,28700
2020-07-24,408.51641845703125,410.5831677878144,403.28066149485693,403.28066149485693,23800
2020-07-27,402.0602111816406,410.7208357649244,398.1334094264722,410.7208357649244,40100
2020-07-28,400.9776611328125,404.80607092969285,398.9010909084714,401.31227306323456,21500
2020-07-29,419.3618469238281,425.20777985240045,401.1056280866759,401.98154791861805,28100
2020-07-30,418.0824279785156,421.202238995696,410.8094764804138,410.8094764804138,20700
2020-07-31,419.12567138671875,424.25315440164167,411.07522180942027,419.79489530491577,34800
2020-08-03,411.862548828125,425.5325934405697,411.862548828125,417.97422542164264,48200
2020-08-04,402.14892578125,413.96874023864893,394.3051406809594,409.8254198885952,56600
2020-08-05,402.512939453125,411.07517219804726,399.7868179177128,402.621213034219,65500
2020-08-06,404.5600280761719,407.345197090529,398.5861494429597,401.1646525672045,29800
2020-08-07,419.0371398925781,421.231835341681,398.5862232680013,400.22978955187165,26400
2020-08-10,419.4109802246094,424.1054277342141,412.86630114950884,422.9933185463825,64900
2020-08-11,416.31103515625,427.20570288782847,415.5729124897434,425.4834166659797,211800
2020-08-12,414.0473937988281,420.98576409429006,405.47533861774684,420.98576409429006,248300
2020-08-13,403.841552734375,414.23431446609294,400.94811031692495,410.4157561718103,120400
2020-08-14,408.82147216796875,411.8625334833545,398.2417155710035,402.3259876922776,222100
2020-08-17,400.6923828125,410.91782700612214,400.66282907156045,408.2802757644293,61800
2020-08-18,388.9413757324219,402.7688590634656,388.74453104476214,402.0504089912184,30300
2020-08-19,395.2793884277344,396.43084274585624,391.2836575333577,391.6970193618389,22600
2020-08-20,383.2135009765625,392.16939278946086,383.0166563077728,390.8112426639389,17400
2020-08-21,379.5918273925781,382.54431753034476,377.80064283410513,382.54431753034476,29600
2020-08-24,394.2164611816406,394.2164611816406,381.176297055185,382.46554861513357,21900
2020-08-25,397.0804443359375,397.1001167933857,389.72874186751966,396.61788629447074,33000
2020-08-26,387.7603759765625,395.42701720052077,387.7603759765625,395.42701720052077,18100
2020-08-27,393.6259765625,395.7517730647531,391.2049430603296,391.6773522944801,17700
2020-08-28,395.4859924316406,397.3067003792349,392.68112127283626,397.3067003792349,13000
2020-08-31,386.9237976074219,393.1338656632985,386.9237976074219,393.1338656632985,17600
2020-09-01,390.7325134277344,391.2541187898794,385.72312569543686,385.72312569543686,11200
2020-09-02,390.870361328125,393.6653819357546,388.7740883638315,389.82715046873807,14700
2020-09-03,386.21514892578125,393.6652713951611,385.16208711657276,390.6537344717302,15100
2020-09-04,390.6242980957031,393.9605963987306,388.45912660532883,391.06715360445014,19300
2020-09-08,371.8759765625,384.0205796313201,371.02961043525795,384.01072838612015,32800
2020-09-09,366.1579284667969,375.8421213647174,365.29189002774336,375.8421213647174,28900
