Price,Close,High,Low,Open,Volume
Ticker,PROV,PROV,PROV,PROV,PROV
Date,,,,,
2020-06-05,12.353087425231934,12.353087425231934,11.6036669137633,11.6036669137633,17100
2020-06-08,12.476618766784668,12.534267045777076,12.015437247174575,12.435442434432057,8400
2020-06-09,12.435441970825195,12.624855605827888,12.229557175184965,12.353087738413835,4300
2020-06-10,11.80131721496582,12.493090300387138,11.80131721496582,12.493090300387138,5100
2020-06-11,10.524831771850586,11.488372791673696,10.500125813374886,11.471902414485982,15400
2020-06-12,10.747186660766602,12.023672571155954,10.393064555297844,10.895423181925937,16600
2020-06-15,11.677785873413086,11.677785873413086,10.294239793801898,10.450711893096893,8300
2020-06-16,11.224839210510254,11.710727456392139,11.158956138396253,11.710727456392139,5000
2020-06-17,10.582476615905762,11.760136868729337,10.582476615905762,11.397780049103929,4400
2020-06-18,10.837775230407715,11.109543090639203,10.335416625062145,10.62365486010771,2400
2020-06-19,10.541303634643555,10.961308883571016,10.500126510856651,10.961308883571016,24800
2020-06-22,10.673067092895508,10.854245920329303,10.533065378795046,10.533065378795046,2700
2020-06-23,10.310710906982422,10.846011059640054,10.310710906982422,10.846011059640054,4800
2020-06-24,10.29423999786377,10.574243451467773,10.286004417372315,10.31071115884668,12300
2020-06-25,10.804835319519043,10.804835319519043,10.804835319519043,10.804835319519043,4500
2020-06-26,10.360122680664062,11.290722035653843,10.088354817791348,10.59894900820033,46800
2020-06-29,11.20013427734375,11.28248773231072,10.763657903004665,10.763657903004665,13400
2020-06-30,11.043660163879395,11.175426305654026,10.92836518252067,10.92836518252067,4600
2020-07-01,10.714244842529297,11.076601733528523,10.574243120114375,11.076601733528523,8600
2020-07-02,10.574243545532227,10.722480854144347,10.409535861178867,10.722480854144347,3500
2020-07-06,10.598949432373047,10.648362130049302,10.598949432373047,10.623655388517081,3700
2020-07-07,10.129530906677246,10.664830997988663,10.129530906677246,10.582477560688178,4900
2020-07-08,10.1542387008667,10.236592938490743,10.047178506110729,10.129532743734773,9600
2020-07-09,9.824821472167969,10.70600803612483,9.725996876850306,9.981293551740581,21600
2020-07-10,10.121295928955078,10.401299360274297,9.808350963679958,9.816586543515962,4600
2020-07-13,9.964824676513672,10.104826403939844,9.948353515457327,10.104826403939844,5800
2020-07-14,10.178942680358887,10.178942680358887,9.915410427784074,10.146001148787036,3000
2020-07-15,10.302474975585938,10.508359763497465,10.088354607664797,10.211885166256458,14200
2020-07-16,10.29423999786377,10.29423999786377,10.154238271061766,10.154238271061766,3100
2020-07-17,10.071881294250488,10.318943143999466,10.071881294250488,10.228354139426294,18000
2020-07-20,10.146002769470215,10.146002769470215,9.890706055355274,9.890706055355274,10400
2020-07-21,10.1542387008667,10.2118861959706,9.92364793506288,10.096591205762799,8800
2020-07-22,10.121295928955078,10.121295928955078,10.006000167415364,10.06364844087928,13700
2020-07-23,10.047178268432617,10.071884224980096,10.047178268432617,10.063649429723068,8800
2020-07-24,10.006000518798828,10.047177634036762,9.931882653836324,10.047177634036762,8300
2020-07-27,9.923645973205566,9.981293456912836,9.915410393993653,9.96482308387707,7400
2020-07-28,9.553056716918945,10.310712977210574,9.553056716918945,10.310712977210574,6600
2020-07-29,10.29423999786377,10.327181534441406,9.676585597991943,9.676585597991943,11800
2020-07-30,10.286003112792969,10.286003112792969,9.964823368243456,9.964823368243456,4300
2020-07-31,10.047178268432617,10.162474041301175,10.047178268432617,10.088355386270544,5800
2020-08-03,10.104825973510742,10.170709044153362,10.047177697657334,10.170709044153362,3800
2020-08-04,10.113061904907227,10.146003443930837,9.923648251868528,10.080120365883616,16800
2020-08-05,10.335415840148926,10.516594661673183,9.989529356051747,10.516594661673183,5100
2020-08-06,10.055413246154785,10.211885342090998,10.047177666003366,10.211885342090998,25200
2020-08-07,10.2777681350708,10.401299477842826,10.170708737545093,10.327180829257237,4100
2020-08-10,10.368358612060547,10.541301874782164,10.253062841783409,10.368358612060547,5700
2020-08-11,10.50012493133545,10.994248771671218,10.467183394338944,10.533066468331954,14900
2020-08-12,10.697772979736328,11.035423893256223,10.648361072356304,10.730714513119047,6100
2020-08-13,10.706008911132812,10.953070812313504,10.706008911132812,10.722480071059321,3100
2020-08-14,10.829538345336914,11.117777331037553,10.730713752196479,10.755420489522628,3400
2020-08-17,10.516594886779785,10.804833106105084,10.516594886779785,10.706008506446002,13900
2020-08-18,10.393065452575684,10.763657965551127,10.393065452575684,10.56600873001599,13300
2020-08-19,10.293129920959473,10.451358095427926,10.243163714220989,10.451358095427926,3400
2020-08-20,10.07660961151123,10.25149294507295,10.07660961151123,10.25149294507295,2400
2020-08-21,10.051626205444336,10.301459664853779,10.051626205444336,10.051626205444336,7500
2020-08-24,9.993331909179688,10.109921067364969,9.993331909179688,10.109921067364969,3100
2020-08-25,9.860087394714355,9.968348583328458,9.835104287864532,9.968348583328458,12700
2020-08-26,10.01831340789795,10.151557684886347,9.843430095801043,9.843430095801043,6900
2020-08-27,9.935036659240723,10.068280943301854,9.876741689315043,10.001658801271288,8500
2020-08-28,10.176542282104492,10.201525387207763,9.926708848476013,10.009986924418369,4100
2020-08-31,9.918381690979004,10.19319825212462,9.918381690979004,10.093265029362456,15600
2020-09-01,10.176542282104492,10.176542282104492,10.076609067492818,10.076609067492818,6700
2020-09-02,10.109919548034668,10.151557789373209,9.993330407370536,10.151557789373209,4300
2020-09-03,10.209854125976562,10.218182093040495,9.99333174750625,10.118248076670618,5100
2020-09-04,10.234835624694824,10.49299700371935,10.118246486716243,10.234835624694824,3400
2020-09-08,10.09326457977295,10.201525764825957,10.001659328204383,10.159886725313473,6000
2020-09-09,10.184866905212402,10.343095051060907,10.093261679962168,10.226505932761924,5100
2020-09-10,10.12657642364502,10.38473785292157,10.009988057170634,10.234837616941721,6400
2020-09-11,10.12657642364502,10.218182476387673,10.12657642364502,10.218182476387673,4700
2020-09-14,10.234835624694824,10.234835624694824,10.093263383648878,10.20985252162746,5100
2020-09-15,9.926708221435547,10.076608430983605,9.918380255527646,10.076608430983605,16700
2020-09-16,9.901723861694336,10.07660715258039,9.893395896842991,10.001657057315162,9600
2020-09-17,10.07660961151123,10.15988689775099,9.910053450634441,9.910053450634441,14800
2020-09-18,9.951691627502441,10.16821398249913,9.893397452772012,10.16821398249913,43800
2020-09-21,9.668548583984375,10.026643240716691,9.668548583984375,9.876743004094106,16800
2020-09-22,9.718515396118164,9.901726704455067,9.676876354105412,9.901726704455067,12300
2020-09-23,9.718515396118164,9.818448620429566,9.610254204564479,9.668548386863128,10500
2020-09-24,9.801791191101074,10.159884962707185,9.693530024829954,9.701857195928898,7900
2020-09-25,9.726842880249023,9.818448132768305,9.62690966090109,9.685203840304395,10300
2020-09-28,9.768481254577637,9.843431368624813,9.493664699203752,9.735170181023186,30900
2020-09-29,9.77680778503418,9.91005205967474,9.726841579143231,9.8767409910146,1800
2020-09-30,9.910053253173828,9.918381219891458,9.743497889814337,9.743497889814337,1500
2020-10-01,9.851758003234863,9.910052175521928,9.810118968373303,9.910052175521928,4200
2020-10-02,10.059955596923828,10.151560867523074,9.710188863073927,9.710188863073927,11600
2020-10-05,10.459687232971191,10.617914630965636,10.134903675994854,10.143231642783674,9600
2020-10-06,10.701189994812012,10.709517165289018,10.50965077826926,10.559617772123412,15300
2020-10-07,11.234169960021973,11.234169960021973,10.35142612310772,10.759486968364282,12800
2020-10-08,11.409051895141602,11.592263172398644,11.059285272286585,11.217513446253562,11500
2020-10-09,11.417383193969727,11.775477887190412,11.284138878594245,11.775477887190412,2500
2020-10-12,11.775474548339844,11.85875182473747,11.334101886058122,11.375740921356204,5000
2020-10-13,11.53396987915039,11.783802519491246,10.784469575532038,11.783802519491246,7300
2020-10-14,11.42570972442627,11.484003906517648,11.42570972442627,11.484003906517648,1600
2020-10-15,11.450691223144531,11.450691223144531,11.192529835211726,11.39239704924297,3300
2020-10-16,11.325777053833008,11.633904707968634,11.159220878236493,11.350760162493003,5500
2020-10-19,11.359086990356445,11.41738116944684,11.06761450650722,11.41738116944684,1400
2020-10-20,11.53396987915039,11.53396987915039,11.259153339416573,11.434035869975734,1600
2020-10-21,11.259154319763184,11.30912053450253,11.167548269076612,11.184204203455502,3900
2020-10-22,11.334102630615234,11.55895295947657,11.209186310713555,11.209186310713555,5600
2020-10-23,11.3923978805542,11.550625275918069,11.250825624292448,11.250825624292448,2600
2020-10-26,11.334102630615234,11.475674883409722,11.31744749192102,11.40905274023568,3000
2020-10-27,11.300792694091797,11.409053886173131,10.734504420233847,10.826109677749436,3900
2020-10-28,10.90938663482666,11.450691745097277,10.826108559001062,11.442363778675,3400
2020-10-29,10.99266529083252,11.23417078788313,10.526310231658297,10.576276448041904,4400
2020-10-30,10.542964935302734,10.88440364516409,10.484670753872354,10.692865166636464,4800
2020-11-02,10.809453010559082,10.809453010559082,10.726175725970592,10.751158831927278,4900
2020-11-03,10.734503746032715,11.15089255364021,10.717847812513076,10.792797924954204,19200
2020-11-04,10.434703826904297,10.76781536644919,10.418048686736316,10.76781536644919,4700
2020-11-05,10.642897605895996,10.642897605895996,10.451359137306756,10.476342243166524,4900
2020-11-06,10.542964935302734,10.542964935302734,10.542964935302734,10.542964935302734,2800
2020-11-09,11.134236335754395,11.592264171264423,11.02597515323758,11.02597515323758,15700
2020-11-10,11.50065803527832,11.650557450578097,11.284135686935981,11.284135686935981,19800
2020-11-11,11.53396987915039,11.53396987915039,11.28413644461094,11.500658807491703,5000
2020-11-12,11.292463302612305,11.575606986818595,11.292463302612305,11.400723679227303,6500
2020-11-13,11.42570972442627,11.775476405371876,11.267481524180146,11.267481524180146,10600
2020-11-16,11.70052433013916,12.075274055789473,11.642229363607933,11.642229363607933,17700
2020-11-17,11.53396987915039,12.116914030276712,11.53396987915039,11.658886199320818,42900
2020-11-18,11.483490943908691,11.862068220859825,11.197455937991187,11.727462521105824,15300
2020-11-19,11.500319480895996,11.5423837211555,11.43301701740425,11.441430025917882,4100
2020-11-20,11.441429138183594,11.441429138183594,11.416190114600983,11.416190114600983,3600
2020-11-23,11.685401916503906,11.74429137279156,11.567622201619928,11.584448219021354,6300
2020-11-24,12.38366413116455,12.568745486887838,11.769528207730517,11.769528207730517,21500
2020-11-25,12.249059677124023,12.585571974994764,12.249059677124023,12.282710906911097,7200
2020-11-27,12.333186149597168,12.669699217011384,12.316360937496146,12.669699217011384,3300
2020-11-30,12.114453315734863,12.358424919380777,11.963023190846457,12.232233014922345,9900
2020-12-01,11.904132843017578,12.291122363124963,11.862069410080178,12.291122363124963,7800
2020-12-02,11.895722389221191,12.156519241987805,11.862071156531671,12.156519241987805,3900
2020-12-03,11.862070083618164,11.996675002201352,11.862070083618164,11.870482289298161,11500
2020-12-04,12.425728797912598,12.450967019602285,11.912546542267812,11.920959550267241,4500
2020-12-07,12.274295806884766,12.905256859584323,12.030324231933275,12.324772241807988,16500
2020-12-08,12.619223594665527,12.678113048035204,12.215408824744372,12.223821030719591,22200
2020-12-09,12.434142112731934,12.997800862034591,12.392077871291246,12.753829224449014,15500
2020-12-10,12.54350757598877,12.577158805343396,12.265884733235954,12.459379903756501,15600
2020-12-11,12.5855712890625,12.880020135382953,12.442553369684973,12.50144281802564,32200
2020-12-14,12.54350757598877,12.737002746509317,12.518269354549949,12.593984821175006,40200
2020-12-15,12.50985336303711,12.602394021114259,12.50985336303711,12.602394021114259,15700
2020-12-16,12.568745613098145,12.636048873128942,12.450966713238559,12.526682178753198,130400
2020-12-17,12.686525344848633,12.745414794915742,12.568745642405826,12.568745642405826,17500
2020-12-18,12.703350067138672,12.955733857335883,12.434139460721944,12.661285834669636,98500
2020-12-21,12.955734252929688,13.123991187943432,12.484617081355076,12.484617081355076,27500
2020-12-22,12.863194465637207,13.140817304281216,12.627635863641082,13.140817304281216,14200
2020-12-23,13.4520902633667,13.4520902633667,12.703350282424546,12.905257638927473,12900
2020-12-24,13.250184059143066,13.670824822925386,13.250184059143066,13.452091433204519,7500
2020-12-28,13.107165336608887,13.738126443835792,13.107165336608887,13.317485705684522,13200
2020-12-29,13.275423049926758,13.435266998723325,13.174469357043542,13.435266998723325,6700
2020-12-30,13.174468994140625,13.586696762635722,12.821130677628082,13.224946240346107,25300
2020-12-31,13.216533660888672,13.359551593749071,13.216533660888672,13.25018489201414,7400
2021-01-04,12.88001823425293,13.267007699746255,12.44255153312637,13.157641024464615,19800
2021-01-05,13.191295623779297,13.275423301622682,12.770654827636422,12.770654827636422,10800
2021-01-06,14.167179107666016,14.554167787003113,13.250182240137908,13.250182240137908,14700
2021-01-07,14.251310348510742,14.520520196125565,13.914798038992213,13.914798038992213,13400
2021-01-08,14.47004222869873,14.554169093765822,14.040988477464769,14.209243812216044,8200
2021-01-11,14.217658042907715,14.402741013060545,14.091466129832659,14.293373511676194,11700
2021-01-12,14.545755386352539,14.545755386352539,14.133526110674516,14.217654567029559,4200
2021-01-13,14.150351524353027,14.327021435687712,14.150351524353027,14.318608429946368,10000
2021-01-14,14.301785469055176,14.301785469055176,14.049401661448107,14.099878102046098,18600
2021-01-15,14.310199737548828,14.495281105794838,14.141942781239907,14.150355789517079,10600
2021-01-19,14.638296127319336,14.865442491796685,14.23448143799312,14.343847314620952,7500
2021-01-20,14.276548385620117,14.50369480608987,14.268135376941533,14.301787411655868,3900
2021-01-21,14.226070404052734,14.385914342473878,13.847493077428227,14.05781345786025,12100
2021-01-22,14.899094581604004,14.9663986419769,14.007336641685647,14.007336641685647,18000
2021-01-25,14.411150932312012,14.697186761617559,14.411150932312012,14.697186761617559,6100
2021-01-26,14.318611145019531,14.613059983332429,13.477329666763865,14.411151016488041,21900
2021-01-27,14.141940116882324,14.495278374867928,14.015748225733956,14.141940116882324,22900
2021-01-28,13.502567291259766,14.41956424499276,13.30066072824414,14.41956424499276,8300
2021-01-29,13.502567291259766,13.687650246269754,12.711763042585794,12.711763042585794,15300
2021-02-01,13.02303695678711,13.704476112559416,12.905258062779737,13.393201258175106,18400
2021-02-02,12.980974197387695,13.359550723464672,12.980974197387695,12.980974197387695,13000
2021-02-03,13.039864540100098,13.258597944294559,12.964149069239811,13.149231242197327,9400
2021-02-04,13.216533660888672,13.233358875297087,12.779066853948947,13.039864496902803,13500
2021-02-05,12.955734252929688,13.14081640005969,12.787478120224469,13.14081640005969,11100
2021-02-08,13.233359336853027,13.401616300657507,13.039864951710005,13.039864951710005,6200
2021-02-09,13.460502624511719,13.586694515693125,12.905257019619967,12.989384679638079,17600
2021-02-10,13.309073448181152,13.553045860270132,13.24177099046991,13.553045860270132,7100
2021-02-11,13.166055679321289,13.847493272213669,13.1576434737402,13.334312627880555,17200
2021-02-12,13.376374244689941,13.376374244689941,13.174466896630946,13.376374244689941,22300
2021-02-16,13.250184059143066,13.460504441034226,13.233358043483653,13.233358043483653,15200
